Category,KPI / Anomaly Name,Type,Department,Dashboard,Business Objective,Formula / Detection Logic,Feasibility (Current Data),Status,Data Currently Available,Additional Data Required,Client Requirement / Source System,Priority,Remarks
Loss Analytics,Number of Tamper Alerts (Neutral Missing),KPI,Analytics,Dashboard-5,Tamper monitoring,Count(events of type) per period,No,Blocked,Status byte (insufficient),IS 15959 event logs with timestamps/codes,Provide meter event logs from HES/MDM,P0,Requires IS 15959 event capture.
Loss Analytics,Consumption Comparison - Energy Gap (kWh),KPI,Analytics,Dashboard-5,Detect theft/loss pockets,DT energy ? ? consumer energy (same period),Partial,Partial,Consumer kWh + DT meters + DTR mapping fields available,Confirm DT meter identifier per DTR (DTRcode) and period alignment,DT meter ? DTRcode mapping table (authoritative),P0,Can compute where DT meter-to-DTR mapping is confirmed.
Anomaly Analytics,Total anomalies detected (by time period),KPI,Analytics,Dashboard-5,Volume tracking,Count anomalies grouped by day/week/month,Yes,Ready,Anomaly flags,Scoring pipeline output,ML scoring output,P1,
Anomaly Analytics,Anomalies by type,KPI,Analytics,Dashboard-5,Distribution,Count by anomaly_type,Yes,Ready,Anomaly flags + type,None,Scoring output,P1,
Anomaly Analytics,Anomalies by severity,KPI,Analytics,Dashboard-5,Severity mix,Count by severity,Yes,Ready,Anomaly flags + severity,Severity mapping,Severity config,P1,
Anomaly Analytics,Anomalies by geography,KPI,Analytics,Dashboard-5,Hotspots,Group by region/feeder/DT,Partial,Partial,Subdivision (partial),GIS + topology hierarchy,GIS + topology master,P1,
Anomaly Analytics,Anomaly trends (daily/weekly/monthly),KPI,Analytics,Dashboard-5,Trends,Time-series of anomaly counts,Yes,Ready,Anomaly history,None,Scoring output,P1,
Anomaly Analytics,Repeat anomaly tracking,KPI,Analytics,Dashboard-5,Repeat offenders,Repeat offenders within window,Yes,Ready,Meter ID + anomaly history,None,Scoring output,P1,
Loss Analytics,Theft Suspect Flags,KPI,Analytics,Dashboard-6,Prioritize suspected theft,Rules/ML: reverse flow + peer deviation + sudden drop + event patterns,Partial,Partial,Import/export kWh; voltage; data gaps,Peer groups + topology + billing + events,Topology + billing + event logs + peer grouping,P0,
Loss Analytics,% Reduction in Theft Events (monthly trend),KPI,Analytics,Dashboard-6,Measure enforcement impact,(Theft events trend vs baseline),No,Blocked,None,Confirmed theft outcomes + history,Field verification outcomes + recovery records,P1,
Anomaly Types (11),Theft / Load diversion,Anomaly,Analytics,Dashboard-6,Revenue protection,Peer deviation >3?; sudden drop; reverse flow; DT energy gap,Partial,Partial,Consumer + DT/Feeder energy readings exist; import/export fields exist,Billing + event logs for bypass/tamper + peer grouping policy + field labels,Billing/collection extracts + tamper event logs + field verification,Critical,Energy gap/peer deviation possible now; confirmation needs billing/events.
Management Summary,Areas with Highest Theft Risk,KPI,Analytics,Dashboard-6,Revenue focus,Composite theft risk from anomalies,Partial,Partial,Consumption anomalies (partial),Billing + topology + events,Billing + topology + events,P1,
Management Summary,Revenue Recovery Improvement (%),KPI,Finance,Dashboard-6,Impact tracking,(Recovered ? / baseline) trend,No,Blocked,None,Recovery records,Recovery/revenue records,P1,
Anomaly Types (11),Communication health issues,Anomaly,Analytics,Dashboard-7,Comms monitoring,"Packet loss %, non-reporting, low signal",Yes,Ready,Signal strength; timestamps,Comms tech metadata optional,Optional comms tech attribute,Low,
Communication Health,Signal strength statistics,KPI,Technical,Dashboard-7,Network quality,Mean/median/p95 signal strength,Yes,Ready,Signal strength,None,HES/MDM,P1,
Communication Health,Packet loss percentage,KPI,Technical,Dashboard-7,Comms reliability,(Expected blocks ? received)/expected ×100,Partial,Partial,Timestamps,Interval definition,Confirm block interval,P1,
Communication Health,Communication retry counts,KPI,Technical,Dashboard-7,Troubleshooting,Count(retry events),No,Blocked,None,Retry logs,HES logs,P2,
Communication Health,Non-reporting meters (>24 hours),KPI,Technical,Dashboard-7,Dead meters,Last seen >24h,Yes,Ready,Timestamps,None,HES/MDM,P0,
Communication Health,Communication technology performance (RF/GPRS/PLC),KPI,Technical,Dashboard-7,Compare comms modes,KPIs grouped by comms type,No,Blocked,None,Comms tech attribute per meter,Asset registry/HES attribute,P2,
Auto-Indexing / Mapping,Auto-indexing consumers and DTRs for correct mapping,KPI/Process,Advanced Analytics,Dashboard-8,Correct T&D loss calculations,Maintain mapping tables + change history; reconcile on outage events,No,Blocked,Meter IDs (partial),Authoritative topology master + change history + reindex rules,Topology master + change logs,P0,
Auto-Indexing / Mapping,Track updated tag of DTs to Feeders,KPI/Process,Advanced Analytics,Dashboard-8,Correct hierarchy over time,Effective-dated DT?Feeder mapping,No,Blocked,None,DT?Feeder mapping + audit trail,Topology master effective-dated,P0,
Auto-Indexing / Mapping,Track updated tag of consumers to DTs,KPI/Process,Advanced Analytics,Dashboard-8,Correct consumer grouping,Effective-dated Consumer?DT mapping,No,Blocked,None,Consumer?DT mapping + audit trail,Topology master effective-dated,P0,
Auto-Indexing / Mapping,Re-index consumer/DTR data for correct past-period T&D loss,KPI/Process,Advanced Analytics,Dashboard-8,Historical accuracy,Backfill using effective-dated mapping snapshots,No,Blocked,None,Historical mapping snapshots + backfill mandate,Historical topology snapshots,P1,
Data Mapping System,Mapping Accuracy (95%),KPI,Advanced Analytics,Dashboard-8,Mapping quality,Correct mappings / total ×100,No,Blocked,None,Ground truth + verification outcomes,Field verification outcomes,P0,
Data Mapping System,DT-to-meter mapping accuracy,KPI,Advanced Analytics,Dashboard-8,DT grouping accuracy,Correct DT mappings / total ×100,No,Blocked,None,Ground truth DT mapping,Topology truth set,P0,
Data Mapping System,% meters pending field verification (<5%),KPI,Advanced Analytics,Dashboard-8,Backlog control,Pending / total meters ×100,No,Blocked,None,Field workflow statuses,Field app/workflow data,P1,
Data Mapping System,Confidence scoring (High/Medium/Low),KPI,Advanced Analytics,Dashboard-8,Communicate certainty,Confidence score banding,No,Blocked,None,Confidence model inputs + labels,Labels + algorithm,P2,
Data Mapping System,Total assets tracked (Meters/Feeders/DTs),KPI,Advanced Analytics,Dashboard-8,Inventory visibility,Count assets by type,No,Blocked,Meter IDs only,Asset registry,Asset master registry,P0,
Data Mapping System,Overloaded DTs identified and monitored,KPI,Advanced Analytics,Dashboard-8,Asset risk,% loading > threshold,No,Blocked,None,DT capacity + load + mapping,Capacity + load + mapping,P0,
Data Mapping System,"Mismatch analysis (Feeder?DT, DT?Meter)",KPI,Advanced Analytics,Dashboard-8,Detect mapping errors,Compare current vs corrected mapping; count mismatches,No,Blocked,None,Current & corrected mappings,Topology + correction history,P1,
Operational Efficiency,Correctly mapped meters (%),KPI,Advanced Analytics,Dashboard-8,Completion,Correct mappings / total meters ×100,No,Blocked,None,Mapping verification outcomes,Field workflow outcomes,P0,
Operational Efficiency,Incorrectly mapped meters requiring correction (%),KPI,Advanced Analytics,Dashboard-8,Reduce errors,Incorrect / total ×100,No,Blocked,None,Mismatch list + validation,Topology + validation results,P1,
Operational Efficiency,Verification pending count,KPI,Advanced Analytics,Dashboard-8,Track work,Count(pending verifications),No,Blocked,None,Field workflow data,Field app/work order system,P1,
Operational Efficiency,Correction cycle time (avg days),KPI,Advanced Analytics,Dashboard-8,Speed improvements,Avg(date corrected ? date detected),No,Blocked,None,Ticket timestamps,Ticketing/work order system,P2,
Operational Efficiency,Transformer utilization rate (% of rated capacity),KPI,Advanced Analytics,Dashboard-8,Utilization,(Load ÷ rated capacity) ×100,No,Blocked,None,DT capacity + load,Capacity + load,P1,
Operational Efficiency,Field verification completion rate,KPI,Advanced Analytics,Dashboard-8,Throughput,Completed / assigned ×100,No,Blocked,None,Field workflow data,Field app/work order system,P1,
Anomaly Types (11),Tamper sequence detection,Anomaly,Analytics,Dashboard-9,Tamper detection,IS 15959 event sequence patterns,No,Blocked,Status byte (insufficient),Event logs with codes & timestamps,IS 15959 event logs from HES/MDM,Critical,
Anomaly Types (11),Voltage/Current imbalance,Anomaly,Analytics,Dashboard-9,Phase imbalance,Phase unbalance > threshold for N intervals,Partial,Partial,Some phase V/I fields,Consistent per-phase V/I + phase mapping,Per-phase V/I + phase mapping master,High,
Anomaly Types (11),Power factor deterioration,Anomaly,Analytics,Dashboard-9,Efficiency,PF trend drop; PF <0.85 sustained,No,Blocked,kVAh only (partial),PF register or kW/kvar/kvarh,Provide PF/kW/kvar registers,Medium,
Anomaly Types (11),Overload / MD breach risk,Anomaly,Analytics,Dashboard-9,Asset risk,Demand >90% of sanctioned/MD limit,No,Blocked,Demand proxy (partial),Sanctioned load + MD profile/register,CIS sanctioned load + MD profile,High,
Anomaly Types (11),Hidden outage pockets,Anomaly,Analytics,Dashboard-9,Outage detection,Zero kWh (not planned) + voltage drop; comms ok,Partial,Partial,Zero kWh; voltage (if present),OMS outage feed + planned outage calendar,OMS feed + planned outage calendar,High,
Anomaly Types (11),Data quality issues,Anomaly,Analytics,Dashboard-9,Data SLA,Flatline>6h; missing blocks; timestamp drift,Yes,Ready,Timestamps; RTC; HES/MDM times,Interval definition,Confirm block interval & expected blocks,Medium,
Anomaly Types (11),Reverse flow,Anomaly,Analytics,Dashboard-9,Unauthorized export,Export kWh > threshold,Partial,Partial,Export kWh,Net-metering registry/approvals,Provide net-meter registry flag,Critical,
Anomaly Types (11),Consumption spikes/drops,Anomaly,Analytics,Dashboard-9,Anomaly detection,Spike/drop >5? from baseline,Yes,Ready,Historical kWh,Peer baselines optional,Optional peer grouping,Medium,
Phase Management,Phase-level mapping accuracy,KPI/Anomaly,Analytics,Dashboard-9,Phase allocation correctness,Correct phase mappings / total ×100,No,Blocked,Partial phase V/I fields,Phase mapping master + validation,Phase mapping master + field validation,P1,
Phase Management,Phase imbalance reduced by minimum 30%,KPI/Anomaly,Analytics,Dashboard-9,Reduce imbalance,Baseline imbalance ? current imbalance (target 30%),Partial,Partial,Per-phase V/I (if available),Baseline period + phase mapping + consistent per-phase measures,Phase mapping + consistent per-phase data,P2,
Phase Management,Real-time phase load monitoring per transformer,KPI/Anomaly,Analytics,Dashboard-9,Operational monitoring,Aggregate per-phase load per DT,No,Blocked,None,Topology + per-phase V/I,Topology + per-phase measurements,P1,
Phase Management,Imbalance alerts when threshold exceeded,KPI/Anomaly,Analytics,Dashboard-9,Alerting,Phase imbalance > threshold for N intervals,Partial,Partial,Per-phase V/I (if available),Consistent per-phase data + thresholds,Per-phase measures + threshold config,High,
Phase Management,Phase transfer recommendations (what-if),KPI/Anomaly,Analytics,Dashboard-9,Operational planning,Simulate shifting load to reduce imbalance,No,Blocked,None,Network model + phase mapping + constraints,Network model + phase mapping,P2,
